url	クリスマスプレゼント	クリスマス	サンタクロース	年末行事
https://www.creema.jp/feature/55	True	True	True	False
https://www.sowxp.co.jp/christmas	True	True	False	False
https://www.e87.com/selection/xmas/colum_02.html	True	True	True	False
https://nihon-nenchugyoji.com/nenmatsunenshi-nihon-dentogyoji/	False	True	True	False
https://giftmall.co.jp/christmas/	True	True	True	False
https://www.youtube.com/watch?v=QTcjfnhmhRU	False	True	False	False
https://www.afpbb.com/articles/-/3495437	False	True	False	False
https://www.ozmall.co.jp/xmas/present/	True	True	True	False
https://www.charity-santa.com/	True	True	True	False
https://www3.nhk.or.jp/lnews/tokushima/20231209/8020019214.html	False	True	True	False
https://tanp.jp/products/scene-christmas/relationship-female-friend	True	True	True	False
https://www.google.com/webhp?hl=ja&sa=X&ved=0ahUKEwi_uKyTqIaDAxU9HxAIHYc1C4MQPAgJ	False	False	False	False
https://www.ozmall.co.jp/xmas/	True	True	True	False
https://www.takashimaya.co.jp/shopping/gift/christmas/	True	True	True	False
https://bestpresent.jp/christmas/	True	True	True	False
https://search.rakuten.co.jp/search/mall/%E3%82%B5%E3%83%B3%E3%82%BF%E3%82%AF%E3%83%AD%E3%83%BC%E3%82%B9/	True	True	True	False
https://www.yasaka-jinja.or.jp/event/shougatsu/	False	False	False	False
https://www.kpal.or.jp/special/2023_nenmatu_nensi.html	False	True	False	False
https://giftmall.co.jp/christmas/femalefriend/	True	True	True	False
https://allabout.co.jp/gm/gc/435823/	False	True	True	False
https://more.hpplus.jp/morejapan/post/ruriko435/106908/	True	True	True	False
https://edvmagazine.jp/new-year-customs/	False	True	False	False
https://tanp.jp/products/scene-christmas?min_price=3000&max_price=4000	True	True	True	False
https://www.store-express.com/shop/pg/1column08/	True	True	True	False
https://giftmall.co.jp/christmas/wife/	True	True	True	False
https://santaclausvillage.jp/santavillage/knowledge/	True	True	True	False
https://www.city.kanoya.lg.jp/documents/4629/20181219chiebukuro.pdf	False	False	False	False
https://news.biglobe.ne.jp/trend/1211/stk_231211_1276181219.html	False	True	False	False
https://www.youtube.com/watch?v=jiknacNmyX0	False	True	True	False
https://event.rakuten.co.jp/xmas/	True	True	True	False
https://giftmall.co.jp/christmas/husband/	True	True	True	False
https://nenga.n-pri.jp/tips/tips51/	False	True	False	True
https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%B3%E3%82%BF%E3%82%AF%E3%83%AD%E3%83%BC%E3%82%B9#:~:text=%E3%82%B5%E3%83%B3%E3%82%BF%E3%82%AF%E3%83%AD%E3%83%BC%E3%82%B9%EF%BC%88%E8%8B%B1%3A%20Santa%20Claus%EF%BC%89,%E3%81%A4%E3%82%8B%E3%81%99%E3%81%A8%E3%81%84%E3%81%86%E7%BF%92%E6%85%A3%E3%81%8C%E3%81%82%E3%82%8B%E3%80%82	True	True	True	False
https://www.i879.com/xmas/column/01/	True	True	True	False
https://www.kyosei-tairyu.jp/nennmatsu/	False	True	True	False
https://www.google.com/webhp?hl=ja&sa=X&ved=0ahUKEwjMocSUqIaDAxWWPxAIHf4pDWsQPAgJ	False	False	False	False
https://www.youtube.com/watch?v=KoCVIEdl2Us	False	True	False	False
https://www.takashimaya.co.jp/shopping/gift/christmas/1000000784/	True	True	True	False
https://my-best.com/5525	True	True	True	False
https://bloomeelife.com/presents/campaign/christmas	False	True	False	False
https://www.yamada-heiando.jp/fs/heiando/c/nenmatunenshi	False	True	False	False
https://www.instagram.com/explore/tags/%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%F0%9F%8E%81/top/	False	False	False	False
https://news.yahoo.co.jp/articles/3af3f5e39aed36b59bf3979d96d765381be4e918	False	True	True	False
https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9%E3%83%BB%E3%82%A4%E3%83%B4	True	True	True	False
https://happy-card.jp/ne/oshiete/history/2840.html	False	True	False	False
https://www.amazon.co.jp/%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88/s?k=%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88	True	True	True	False
https://trip.iko-yo.net/articles/827	False	True	False	False
https://www.jf-santa.org/	False	True	True	False
https://www.youtube.com/watch?v=1rGJUoirYfs	False	False	True	False
https://santatracker.google.com/?hl=ja	False	False	False	False
https://christmas-mori.com/	False	True	True	False
https://booksanta.charity-santa.com/	True	True	True	False
https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9_(%E6%9B%96%E6%98%A7%E3%81%95%E5%9B%9E%E9%81%BF)	False	True	False	False
https://anny.gift/scene-christmas/	True	True	True	False
http://santaclausvillage.jp/	True	True	True	False
https://kinarino.jp/cat2/45024	True	True	False	False
https://www.jds.ne.jp/datamiru-ss0014/	False	False	False	False
https://www.chums.jp/shop/e/exmas/	True	True	False	False
https://turkish.jp/blog/%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9%E3%82%B5%E3%83%B3%E3%82%BF%E3%82%AF%E3%83%AD%E3%83%BC%E3%82%B9/	False	True	True	False
https://isetan.mistore.jp/moodmark/christmas/	True	True	True	False
https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%B3%E3%82%BF%E3%82%AF%E3%83%AD%E3%83%BC%E3%82%B9	True	True	True	False
https://www.google.com/webhp?hl=ja&sa=X&ved=0ahUKEwiL3uGVqIaDAxUVVPEDHWNXB1sQPAgJ	False	False	False	False
https://isetan.mistore.jp/moodmark/christmas/011642/	True	True	True	False
https://isetan.mistore.jp/moodmark/christmas/011602/	True	True	True	False
https://giftmall.co.jp/FXYa5ZIT/	True	True	True	False
https://www.santaland.or.jp/secret/	True	True	True	False
https://report.iko-yo.net/articles/17490	True	True	True	False
https://www.matsumoto-castle.jp/topics/7466.html	False	True	False	False
https://natalie.mu/music/news/552571	True	True	True	False
https://www.ehonnavi.net/special.asp?n=477	True	True	True	False
https://www.nikkansports.com/baseball/news/202312100001373.html	True	True	False	False
https://tanp.jp/products/scene-christmas/relationship-girlfriend	True	True	True	False
https://www.youtube.com/watch?v=D_F3ElUYrmw	False	False	True	False
https://isetan.mistore.jp/moodmark/fashion/0701/	True	True	True	False
https://www.google.com/webhp?hl=ja&sa=X&ved=0ahUKEwiSsveWqIaDAxWgX_EDHWNjDS0QPAgJ	False	False	False	False
https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9	True	True	True	False
https://www.shinseikyo.net/knowledge02.php	False	False	False	False
https://kizamu.com/archives/santa-claus-origin/	True	True	True	False
https://allabout.co.jp/gm/gc/220732/	False	True	True	False
http://ushitenjin.jp/matsuri/nenmatsunenshi.html	False	False	False	False
https://www.gizmodo.jp/2023/12/the-ridiculous-but-awesome-gift-guide.html	True	True	False	False
https://search.rakuten.co.jp/search/mall/%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88/	True	True	True	False
https://www.genkimuragroup.jp/facilitylist/kumegawa/diary/12%E6%9C%88%E3%81%AE%E7%B7%A0%E3%82%81%E3%81%8F%E3%81%8F%E3%82%8A%E5%A4%A7%E6%99%A6%E6%97%A5%E5%B9%B4%E6%9C%AB%E3%81%AE%E8%A1%8C%E4%BA%8B%E5%A0%B1%E5%91%8A%E3%81%A7%E3%81%99/	False	True	True	False
https://plus.ananweb.jp/lifestyle/62169/	True	True	False	False
https://www.tokyo-vln.jp/learn/legacy2020/omotenashi/column/51910	True	True	True	False
https://ja.wikipedia.org/wiki/%E3%83%9F%E3%82%B5	False	True	False	False
https://www.nihonbashi-tokyo.jp/enjoy/feature/201301/	False	False	False	False
https://support.google.com/websearch/answer/181196?hl=ja	False	False	False	False
https://news.yahoo.co.jp/articles/ba4aad529f8d8a9b2c66e2508140960c38b84f99	True	True	False	False
https://www.i879.com/xmas/column/01/#anchor-2	True	True	True	False
https://www.visitfinland.com/ja/kiji-ichiran/santa-ainiiku/	False	True	True	False
https://www.biccamera.com/bc/i/topics/xmas/index.jsp	False	False	False	False
https://japanknowledge.com/introduction/keyword.html?i=419	False	True	False	False
https://tanp.jp/products/scene-christmas	True	True	True	False
https://prince-eibei.jp/prince/prince-8115/	True	True	True	False
https://tanp.jp/products/scene-christmas/relationship-daughter	True	True	True	False
https://www.shogakukan.co.jp/books/09725191	False	False	True	False
https://americancenterjapan.com/aboutusa/monthly-topics/2063/	False	True	True	False
https://www.youtube.com/watch?v=E8Dm863jjtk	False	True	False	False
https://ja.wikipedia.org/wiki/%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E3%81%AE%E9%99%8D%E8%AA%95	True	True	True	False
https://www.i879.com/xmas/column/01/#anchor-3	True	True	True	False
https://www.i879.com/xmas/column/01/#anchor-1	True	True	True	False
https://event.rakuten.co.jp/xmas/trivia/	True	True	True	False
https://www.zutto.co.jp/xmas	True	True	False	False
